Lazy,Over,six,Cochabamba,El_Alto,La_Paz,Oruro,Santa_Cruz,Shocks,Manufacture,Commerce,Services,Individual,Consumption,Groups,Village,Others,Loan_Term,Lenders,Years_with_new_loans,First_timer,Cohort_1997,Cohort_1998,Cohort_1999,Cohort_2000,Default_First,Number_Potential_Workers,Age_Main_Income_Source,Education_Average,Diversification,Savings,Migrants,Female_Main_Person,Commercial,Assets,cruzados,Shocks_97,Shocks_98,Shocks_99,Shocks_00,Shocks_01,cuest
0.0,1.0,B,0,0,1,0,0,1,0,0,1,0,0,1,0,0,3.0,1,1,1,0,0,0,0,0,3,58.0,3.0,1.0,0,1.0,0,0,1.1395007,0,0,0,0,0,1,2
0.0,1.0,B,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1.5,3,1,1,1,0,0,0,0,5,46.0,10.75,1.25,0,0.0,1,0,0.080763586,0,1,1,0,0,0,3
0.0,1.0,C,0,0,1,0,0,1,0,0,1,0,1,0,0,0,3.0,3,1,1,1,0,0,0,1,5,46.0,10.75,1.25,0,0.0,1,0,0.080763586,1,1,1,1,1,0,3
0.0,1.0,C,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1.5,1,2,0,0,0,1,0,0,3,35.0,10.0,2.0,1,0.0,0,0,1.2943171,0,0,0,0,1,0,4
,0.0,A,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1.25,1,1,1,0,1,0,0,0,4,55.0,11.0,1.0,0,0.0,1,0,0.40998536,0,0,0,1,0,0,5
1.0,1.0,E,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.75,1,2,0,1,0,0,0,0,4,41.0,8.0,2.0,0,0.0,0,1,0.23861966,0,0,0,0,0,0,6
0.0,1.0,B,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0.5,2,1,0,1,0,0,0,0,4,39.0,9.25,1.0,1,0.0,1,0,1.6468428,0,1,0,0,0,0,7
0.0,1.0,B,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0.8333333,2,3,0,0,1,0,0,1,4,39.0,9.25,1.5,1,0.0,1,0,1.6468428,0,0,1,1,1,1,7
0.0,1.0,B,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.16666667,2,1,1,0,0,1,0,1,5,45.0,9.8,2.0,0,0.0,0,1,0.86637306,0,0,0,0,0,0,8
1.0,1.0,E,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1.0,2,1,1,0,1,0,0,0,5,45.0,9.8,2.375,0,0.0,0,1,0.86637306,1,0,0,0,0,0,8
1.0,1.0,E,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1.0,2,1,1,1,0,0,0,0,5,45.0,9.8,2.25,0,0.0,0,1,0.86637306,1,0,0,0,0,0,8
0.0,1.0,C,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0.6666667,1,3,0,1,0,0,0,0,2,33.0,12.0,1.625,1,0.0,0,1,1.5980176,0,1,1,1,0,0,9
1.0,1.0,D,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1.5,1,1,1,0,0,1,0,0,5,61.0,14.5,2.125,1,0.0,0,1,5.7533183,0,0,0,0,1,0,10
,0.0,A,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0.33333334,1,1,1,0,0,0,0,0,2,35.0,4.0,1.0,1,0.0,0,0,0.06975037,0,0,0,0,0,1,1
,0.0,A,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0.083333336,1,1,1,0,0,0,1,0,1,52.0,12.0,1.0,1,0.0,1,0,0.35697505,0,0,0,0,1,0,12
0.0,1.0,B,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1.0,2,1,1,0,0,1,0,1,2,33.0,8.0,2.5,0,0.0,0,0,0.07929515,0,0,0,0,1,0,13
